Line,Identifier 1,Identifier 2,Comment,Amount,Runtime N2,Ampl  28,Ampl  29,Area N2,d15Nair,%N,Runtime CO2,Area CO2,Ampl  44,Ampl  45,Ampl  46,d13Cvpdb,%C,run comment,,Samples were corrected to the following standard values,,,,
2,UT729,,He at 0.8bar,1.96,236.9,10225,7501,218.5370557,-3.69,9.337,405.5,134.1193025,4398,5283,6141,-13.106,40.96,,,,d15Nair,d13Cpdb,%N,%C
3,LGlu4510,,,2.23,236.5,12265,9436,261.4415699,44.99,9.744,402.1,161.6365402,5052,6106,7055,-9.923,43.4,,,UT729,-3.667,-12.965,9.3,40.82
4,ureaJT,,,1.97,,,,,,,413.9,66.08438107,2310,2676,3238,-45.013,20.05,,,LGlu4510,44.97,-9.81,9.8,
5,4149,TT25_trillium_trail_leaf_masses,Plate 1 A1,2.95,237,5092,3754,109.2353849,2.27,4.092,400.1,188.6415901,5687,6882,7939,-9.417,38.31,,,ureaJT,,-45.011,,20
6,1686,TT25_trillium_trail_leaf_masses,Plate 1 A2,2.68,236.9,5103,3760,109.6527414,1.658,4.367,400.5,176.992573,5413,6473,7549,-22.289,39.58,,,,,,,
7,827,TT25_trillium_trail_leaf_masses,Plate 1 A3,2.71,236.3,8758,6451,187.5918041,1.517,6.365,400.5,183.6802537,5542,6585,7726,-28.546,40.63,,,,,,,
8,5229_blue,TT25_trillium_trail_leaf_masses,Plate 1 A4,2.93,237.6,5140,3785,110.2929005,1.287,4.136,400,192.2877784,5755,6858,8023,-27.139,39.35,,,Isotopic values of in-house standards were calibrated against the following international standard materials,,,,
9,5060,TT25_trillium_trail_leaf_masses,Plate 1 A5,2.59,237.6,4432,3262,96.01551913,0.754,4.096,403.4,170.6031882,5219,6336,7276,-3.724,39.51,,,,d15Nair,d13Cvpdb,,
10,2289,TT25_trillium_trail_leaf_masses,Plate 1 A6,2.93,237.4,5203,3830,111.5681309,1.102,4.167,401.2,190.4102981,5691,7670,7933,116.054,38.99,,,USGS40,-4.52,-26.39,,
11,2703,TT25_trillium_trail_leaf_masses,Plate 1 A7,2.65,237.5,4010,2952,88.11051202,1.129,3.826,403.4,169.5023588,5172,6362,7213,9.627,38.39,,,USGS41,47.57,37.63,,
12,2547,TT25_trillium_trail_leaf_masses,Plate 1 A8,2.44,237.2,4667,3438,102.2895623,1.887,4.439,406,149.1601791,4672,5553,6515,-26.782,36.7,,,,,,,
13,3004,TT25_trillium_trail_leaf_masses,Plate 1 A9,2.12,237.3,4155,3060,92.01372255,1.662,4.545,407,135.5785018,4318,5185,6024,-14.177,38.41,,,one standard deviation is ,,,,
14,4547,TT25_trillium_trail_leaf_masses,Plate 1 A10,2.09,237.3,3889,2864,86.48664555,1.423,4.402,408,134.9055821,4293,5093,5991,-26.992,38.78,,,d15N,0.1,permil,,
15,684,TT25_trillium_trail_leaf_masses,Plate 1 A11,2.26,238,7165,5277,157.0523239,1.555,6.393,406.8,151.7493393,4720,5603,6587,-27.292,40.36,,,d13C,0.1,permil,,
16,392,TT25_trillium_trail_leaf_masses,Plate 1 A12,2.64,237.9,4125,3037,90.54294964,1.104,3.9,406.7,151.6872109,4708,5592,6568,-26.999,34.53,,,%N,0.02,fraction of amount,,
17,UT729,,,1.126,237.1,5478,4014,123.1914487,-3.743,9.225,415.4,75.76110124,2593,3099,3626,-12.994,40.47,,,%C,0.025,fraction of amount,,
18,LGlu4510,,,1.02,237,5186,3987,116.2731454,44.949,9.552,415.9,71.55703222,2464,2955,3450,-9.945,42.21,,,,,,,
19,ureaJT,,,3.662,,,,,,,409.3,120.4988556,3916,4562,5472,-44.981,19.75,,,,,,,
20,5228,TT25_trillium_trail_leaf_masses,Plate 1 B1,2.43,238.3,4463,3284,96.45226794,0.793,4.284,403.2,179.4888297,5418,7052,7558,73.212,44.48,,,,,,,
