Line,Identifier 1,Identifier 2,Comment,Amount,Runtime N2,Ampl  28,Ampl  29,Area N2,d15Nair,%N,Runtime CO2,Area CO2,Ampl  44,Ampl  45,Ampl  46,d13Cvpdb,%C,run comment,,Samples were corrected to the following standard values,,,,
21,6875,TT25_trillium_trail_leaf_masses,Plate 1 B2,2.86,237.6,4962,3658,107.2883583,2.583,4.129,404.7,166.9934464,5095,6238,7106,4.928,35.15,,,,,,,
22,2563,TT25_trillium_trail_leaf_masses,Plate 1 B3,2.81,237,5917,4358,126.9569764,1.68,4.674,401.7,183.5784908,5484,7173,7648,83.428,39.35,,,Line,The row number of the runsheet.,,,
23,4109,TT25_trillium_trail_leaf_masses,Plate 1 B4,2.6,237.6,5509,4059,118.0281913,1.843,4.69,404.1,171.706066,5239,6256,7303,-22.194,39.8,,,Identifier 1,The sample name,,,
24,2927,TT25_trillium_trail_leaf_masses,Plate 1 B5,2.51,237.4,4897,3609,106.5884579,1.989,4.482,406.1,146.1847617,4600,5495,6416,-20.12,35.1,,,Identifier 2,Additional Sample info.,,,
25,2988,TT25_trillium_trail_leaf_masses,Plate 1 B6,2.58,237.7,3838,2825,83.10910269,1.129,3.753,404.5,168.7321144,5159,6198,7195,-16.53,39.43,,,Location,Position in sample tray.,,,
26,4777B,TT25_trillium_trail_leaf_masses,Plate 1 B7,0.45,237,1183,870,27.71332898,0.799,5.843,422,32.03935599,1132,1335,1587,-22.417,42.95,,,Amount,mg of sample used.,,,
27,2382,TT25_trillium_trail_leaf_masses,Plate 1 B8,2.66,237.2,6485,4772,140.3795204,0.749,5.217,404.1,172.1539442,5227,6202,7293,-30.12,39.05,,,Runtime N2,The timing of the nitrogen peak in seconds. Should be about the same for every sample. ,,,
28,955,TT25_trillium_trail_leaf_masses,Plate 1 B9,2.57,237.9,4549,3352,98.32048352,2.126,4.183,404.5,172.6979809,5255,6702,7330,52.684,40.56,,,Ampl  28,The intensity of the mass 28 peak from nitrogen. Should be between 1000 and 14000.,,,
29,2329,TT25_trillium_trail_leaf_masses,Plate 1 B10,2.12,237.8,3850,2838,84.73782069,2.476,4.306,407.3,143.9006971,4522,5410,6307,-17.56,40.99,,,Ampl  29,The intensity of the mass 29 peak from nitrogen. Should be between 1000 and 14000.,,,
30,4177,TT25_trillium_trail_leaf_masses,Plate 1 B11,2.43,238.5,5095,3756,110.4637113,2.68,4.697,406.6,165.3647344,5060,6094,7058,-13.674,41.1,,,Area N2,The area of the 28 and 29 peaks for nitrogen. Should be proportional to the mg of nitrogen produced by combustion if the running conditions are identical.,,,
31,583,TT25_trillium_trail_leaf_masses,Plate 1 B12,2.96,238.2,5838,4302,125.2763954,2.405,4.474,402.9,191.9192861,5690,6799,7934,-22.984,39.17,,,d15Nair,The delta value of the nitrogen peak relative to air. (15N/14Nsample / 15N/14Nair - 1)*1000,,,
32,UT729,,,1.49,237.3,7428,5441,164.4969038,-3.68,9.331,412.5,100.9939499,3368,4039,4701,-12.945,40.97,,,%N,The weight % nitrogen in the sample calculated from the peak area (mg nitrogen) divided by the sample weight. ,,,
33,LGlu4510,,,1.868,238.1,10139,7790,219.2966098,44.948,9.833,409,134.1120586,4330,5225,6046,-9.792,43.41,,,Runtime CO2,The timing of the carbon dioxide peak in seconds. Should be about the same for all samples.,,,
34,ureaJT,,,2.096,,,,,,,416.4,69.10214451,2383,2761,3335,-45.001,19.88,,,Area CO2,"The area of the 44,45 and 46 peaks produced by carbon dioxide. ",,,
35,5641,TT25_trillium_trail_leaf_masses,Plate 1 C1,2.37,237.6,5628,4145,121.5324497,1.794,5.115,404.5,175.6182079,5335,6789,7446,48.645,44.84,,,Ampl  44,The intensity of the 44 peak from carbon dioxide. Should be between 1000 and 14000.,,,
36,3526,TT25_trillium_trail_leaf_masses,Plate 1 C2,2.61,238.8,4475,3296,97.15731608,1.807,4.111,405.2,173.6985704,5278,6327,7360,-19.159,40.27,,,Ampl  45,The intensity of the 45 peak from carbon dioxide. Should be between 1000 and 14000.,,,
37,614,TT25_trillium_trail_leaf_masses,Plate 1 C3,2.68,238.2,6617,4876,140.7616995,2.097,5.205,402.5,202.2132528,5931,7558,8268,48.719,45.69,,,Ampl  46,The intensity of the 46 peak from carbon dioxide. Should be between 1000 and 14000.,,,
38,5877,TT25_trillium_trail_leaf_masses,Plate 1 C4,2.57,238.5,4634,3411,102.4830627,1.423,4.301,406.2,161.4608873,4975,5913,6936,-27.126,38.04,,,d13Cvpdb,The delta value of the carbon dioxide relative to vpdb standard. (13C/12Csample / 13C/12Cvpdb - 1)*1000,,,
39,916,TT25_trillium_trail_leaf_masses,Plate 1 C5,2.11,238.4,3611,2662,79.38322146,2.024,4.14,407.7,144.4378953,4550,5520,6346,-3.991,41.47,,,%C,The weight % carbon in the sample calculated from the peak area of CO2 (mg C) divided by the sample weight. ,,,
40,552,TT25_trillium_trail_leaf_masses,Plate 1 C6,2.59,238,5192,3825,112.4546558,1.702,4.555,405.2,173.119658,5250,6241,7319,-27.559,40.5,,,run comment,Information about the run or issues with the analysis.,,,
41,4511,TT25_trillium_trail_leaf_masses,Plate 1 C7,2.78,237.9,5455,4015,118.2967836,1.164,4.494,403.3,191.3708457,5669,6929,7901,1.64,41.73,,,,,,,
42,5619,TT25_trillium_trail_leaf_masses,Plate 1 C8,2.66,238.4,5310,3914,115.4517593,2.17,4.555,406.1,162.8080928,5017,6023,6995,-17.295,37.1,,,,,,,
43,2416,TT25_trillium_trail_leaf_masses,Plate 1 C9,2.79,237.9,6565,4835,142.5161095,1.334,5.106,404.6,177.8282108,5351,6362,7461,-28.809,38.66,,,,,,,
44,3371,TT25_trillium_trail_leaf_masses,Plate 1 C10,2.75,239,4725,3478,102.8173481,0.821,4.124,406.7,167.6673978,5116,6088,7133,-25.74,36.98,,,,,,,
45,978,TT25_trillium_trail_leaf_masses,Plate 1 C11,3.01,238.4,6293,4630,135.1303769,0.752,4.663,403.4,190.4299659,5670,6857,7903,-10.3,38.39,,,,,,,
46,43,TT25_trillium_trail_leaf_masses,Plate 1 C12,2.98,238.7,5272,3885,113.756325,2.14,4.181,402.8,205.0811195,5953,7194,8295,-11.133,41.79,,,,,,,
47,UT729,,,0.858,237.9,4142,3035,93.78516307,-3.83,9.289,419.1,58.07182724,2016,2407,2818,-12.905,41.11,,,,,,,
48,LGlu4510,,,1.314,238,6927,5324,153.196344,44.992,9.815,414.3,94.11565539,3174,3813,4436,-9.851,43.53,,,,,,,
49,ureaJT,,,3.34,,,,,,,411.6,111.2410991,3658,4259,5111,-45.019,20.18,,,,,,,
50,flag3,TT25_trillium_trail_leaf_masses,Plate 1 D1,2.19,238.3,4495,3314,98.62952657,2.792,4.675,407.9,144.0732612,4540,5398,6334,-25.829,39.99,,,,,,,
51,2912,TT25_trillium_trail_leaf_masses,Plate 1 D2,2.75,237.9,5590,4118,119.809705,1.808,4.57,401.8,206.3327078,6017,7169,8387,-27.514,45.65,,,,,,,
52,4760,TT25_trillium_trail_leaf_masses,Plate 1 D3,2.93,238.9,4909,3617,104.92466,1.949,4.012,403.4,198.0270147,5815,6972,8104,-20.502,41.12,,,,,,,
53,2379,TT25_trillium_trail_leaf_masses,Plate 1 D4,2.13,238,3640,2680,80.56159668,1.237,4.157,408.9,140.1909576,4431,5254,6178,-27.242,40.05,,,,,,,
54,1374,TT25_trillium_trail_leaf_masses,Plate 1 D5,2.95,238.8,5689,4192,122.7940914,1.943,4.431,403.9,193.4730672,5735,6963,7994,-5.512,39.92,,,,,,,
55,4990,TT25_trillium_trail_leaf_masses,Plate 1 D6,2.48,238.2,4957,3650,107.4940809,1.009,4.555,405.3,172.6874013,5240,6528,7304,23.903,42.41,,,,,,,
56,4452,TT25_trillium_trail_leaf_masses,Plate 1 D7,2.65,238.1,4986,3671,108.2076475,1.334,4.375,404.1,181.9562873,5459,6506,7607,-25.756,41.83,,,,,,,
57,3708,TT25_trillium_trail_leaf_masses,Plate 1 D8,2.2,238.4,3733,2748,82.49881,0.845,4.134,408.6,140.895342,4441,5376,6190,-6.222,39.02,,,,,,,
58,2996A3,TT25_trillium_trail_leaf_masses,Plate 1 D9,3.02,238.1,5898,4346,125.9152587,1.843,4.437,402.3,209.0975606,6058,7236,8443,-24.366,42.21,,,,,,,
59,3309,TT25_trillium_trail_leaf_masses,Plate 1 D10,2.42,238.5,6502,4793,141.3986013,2.219,5.646,405.9,172.2317674,5213,6196,7264,-28.349,43.41,,,,,,,
60,4414,TT25_trillium_trail_leaf_masses,Plate 1 D11,2.31,238.3,5078,3739,111.8162955,0.94,4.923,405.6,174.0135575,5239,6671,7304,48.953,45.97,,,,,,,
61,2996A1,TT25_trillium_trail_leaf_masses,Plate 1 D12,2.14,237.8,4284,3157,93.81179047,1.972,4.593,405.7,167.5763516,5109,6854,7122,112.404,47.8,,,,,,,
62,UT729,,,1.652,237.9,7533,5521,166.8755559,-3.705,8.726,413.2,101.8865633,3394,4069,4735,-12.989,37.63,,,,,,,
63,LGlu4510,,,1.662,237.8,8901,6844,194.2439344,44.91,9.875,411.2,118.3426553,3878,4671,5414,-9.778,43.48,,,,,,,
64,ureaJT,,,5.434,,,,,,,403.7,179.8485166,5426,6356,7569,-44.963,20.15,,,,,,,
65,5742,TT25_trillium_trail_leaf_masses,Plate 1 E1,2.48,238.5,5125,3771,111.0050965,0.716,4.661,406.3,167.9441068,5123,6284,7135,6.032,41.38,,,,,,,
66,1827,TT25_trillium_trail_leaf_masses,Plate 1 E2,2.25,238.3,4438,3270,97.41417012,1.952,4.556,407.2,152.5467541,4741,6235,6610,90.774,41.44,,,,,,,
67,3077,TT25_trillium_trail_leaf_masses,Plate 1 E3,2.17,238.3,4680,3447,101.6387223,1.75,4.813,406.8,162.5644846,4985,6443,6949,66.848,45.82,,,,,,,
68,2131,TT25_trillium_trail_leaf_masses,Plate 1 E4,2.61,237.9,5226,3849,113.0623473,1.727,4.558,403.2,186.384746,5579,6684,7775,-20.512,43.68,,,,,,,
69,4373,TT25_trillium_trail_leaf_masses,Plate 1 E5,2.72,237.9,5219,3844,112.9229215,1.63,4.428,404.3,180.4863374,5403,6917,7529,54.711,40.59,,,,,,,
70,7120,TT25_trillium_trail_leaf_masses,Plate 1 E6,2.39,237.8,6015,4427,131.3704067,0.953,5.404,406,163.9880447,5027,5973,7003,-27.585,41.99,,,,,,,
71,5722,TT25_trillium_trail_leaf_masses,Plate 1 E7,1.98,238.3,3010,2218,66.69430383,1.962,3.86,410.8,122.5426872,3951,4700,5511,-24.367,37.88,,,,,,,
72,3043,TT25_trillium_trail_leaf_masses,Plate 1 E8,2.83,237.8,5898,4349,125.9603303,2.659,4.646,402.3,201.4885109,5882,7986,8200,123.709,43.61,,,,,,,
73,9145,TT25_trillium_trail_leaf_masses,Plate 1 E9,2.53,238,5051,3720,110.2307565,1.555,4.578,405.6,164.680702,5032,6448,7014,56.386,39.87,,,,,,,
74,5626,TT25_trillium_trail_leaf_masses,Plate 1 E10,2.44,237.9,4274,3144,93.19345325,0.551,4.188,406.9,157.152252,4869,5818,6787,-21.071,39.46,,,,,,,
75,4505,TT25_trillium_trail_leaf_masses,Plate 1 E11,2.94,238.3,6164,4533,131.9572347,0.333,4.674,402.9,198.9003925,5830,6955,8123,-25.93,41.47,,,,,,,
76,482,TT25_trillium_trail_leaf_masses,Plate 1 E12,2.83,238.3,6039,4446,131.0626802,1.138,4.779,404.7,179.8275988,5416,6549,7547,-10.496,38.96,,,,,,,
77,UT729,,,1.266,238,6239,0,137.6427094,,9.32,415.3,83.9851447,2892,0,4036,,40.69,computer malfunction,,,,,,
78,LGlu4510,,,0.858,237,4349,3339,98.69520956,44.937,9.782,418.5,60.11458523,2087,2498,2914,-9.704,43,,,,,,,
79,ureaJT,,,7.524,,,,,,,398.4,242.8141122,6735,7906,9379,-44.941,19.73,,,,,,,
80,6507,TT25_trillium_trail_leaf_masses,Plate 1 F1,1.98,238.3,3890,2860,84.89733789,1.652,4.53,409.7,131.0713156,4190,4979,5827,-24.234,40.65,,,,,,,
81,2573,TT25_trillium_trail_leaf_masses,Plate 1 F2,2.52,238.2,4660,3427,101.5497276,1.839,4.343,405.8,161.2153731,4950,6000,6892,-5.374,39.29,,,,,,,
82,2941,TT25_trillium_trail_leaf_masses,Plate 1 F3,2.42,238.2,4726,3474,102.7299576,1.167,4.5,405.9,163.2759441,5000,6595,6962,92.143,41.46,,,,,,,
83,632,TT25_trillium_trail_leaf_masses,Plate 1 F4,2.59,238.3,4734,3484,103.0232204,2.145,4.305,405.4,169.4090114,5147,6143,7167,-22.809,40.2,,,,,,,
84,5040,TT25_trillium_trail_leaf_masses,Plate 1 F5,2.74,238,4870,3581,105.8034711,1.279,4.221,404.6,177.1940687,5312,6579,7397,17.536,39.76,,,,,,,
85,5115,TT25_trillium_trail_leaf_masses,Plate 1 F6,2.88,238.4,5119,3768,111.5915033,2.052,4.231,405.5,171.2760072,5172,6154,7202,-26.61,36.56,,,,,,,
86,4000,TT25_trillium_trail_leaf_masses,Plate 1 F7,2.2,238.4,3820,2810,84.28516491,1.689,4.199,408.8,138.1548354,4358,5416,6071,25.017,38.63,,,,,,,
87,4714,TT25_trillium_trail_leaf_masses,Plate 1 F8,2.18,238.9,4706,3464,102.9298001,2.011,4.85,407.9,152.7322978,4735,5640,6596,-23.869,43.13,,,,,,,
88,3031,TT25_trillium_trail_leaf_masses,Plate 1 F9,2.98,238.4,5129,3775,111.0242213,1.611,4.122,405.1,172.4235458,5214,6209,7262,-27.001,35.6,,,,,,,
89,4934,TT25_trillium_trail_leaf_masses,Plate 1 F10,2.51,238.7,3975,2926,87.48986022,1.394,3.947,409.3,140.7993866,4433,5253,6176,-27.098,34.52,,,,,,,
90,1851,TT25_trillium_trail_leaf_masses,Plate 1 F11,2.9,238.1,5452,4010,118.6793658,1.081,4.391,403.9,185.5193889,5487,6748,7644,9.234,39.4,,,,,,,
91,5865,TT25_trillium_trail_leaf_masses,Plate 1 F12,2.15,237.7,4950,3644,109.738156,1.952,5.132,408.6,138.6443504,4353,5168,6063,-26.691,39.74,,,,,,,
92,UT729,,,2.078,236.1,10286,7528,223.1227126,-3.443,9.259,406.3,136.6599378,4368,5256,6081,-12.739,40.54,,,,,,,
93,LGlu4510,,,1.796,236.6,9468,7277,204.9200284,45.052,9.754,408.1,125.3849589,4078,4911,5675,-9.776,43.06,,,,,,,
94,ureaJT,,,2.262,,,,,,,414.5,73.50568276,2541,2946,3546,-44.911,19.97,,,,,,,
95,3829,TT25_trillium_trail_leaf_masses,Plate 1 G1,2.13,237.3,3450,2539,75.57024699,1.309,3.993,407.2,133.6766709,4282,5090,5967,-25.338,38.72,,,,,,,
96,774,TT25_trillium_trail_leaf_masses,Plate 1 G2,2.56,238.3,3953,2911,85.8050962,1.77,3.849,404.7,164.8228976,5046,6125,7026,-4.761,39.74,,,,,,,
97,4081,TT25_trillium_trail_leaf_masses,Plate 1 G3,2.94,237.9,5447,4008,116.0441677,1.414,4.286,401.8,191.3970851,5672,6759,7894,-26.216,40.2,,,,,,,
98,4745,TT25_trillium_trail_leaf_masses,Plate 1 G4,2.43,238.2,3392,2499,74.21489679,2.249,3.631,405.5,149.3976785,4665,6241,6497,106.633,37.96,,,,,,,
99,2980,TT25_trillium_trail_leaf_masses,Plate 1 G5,2.57,238.3,5031,3708,109.1040635,3.031,4.506,404.8,163.5653545,5019,6702,6989,107.039,39.32,,,,,,,
100,7574b,TT25_trillium_trail_leaf_masses,Plate 1 G6,2.01,237.7,3560,2623,78.23419602,2.401,4.247,406.9,140.9028097,4441,5607,6185,40.511,43.34,,,,,,,
101,1750,TT25_trillium_trail_leaf_masses,Plate 1 G7,2.34,237.7,3891,2866,84.94417733,2.334,4.054,405,158.4127635,4881,6491,6799,101.204,41.86,,,,,,,
102,1975,TT25_trillium_trail_leaf_masses,Plate 1 G8,2.78,237.8,4361,3214,94.881558,2.776,3.895,402.7,178.3298709,5361,6969,7465,70.293,39.67,,,,,,,
103,4942,TT25_trillium_trail_leaf_masses,Plate 1 G9,2.33,238.3,3938,2902,85.83418749,2.686,4.094,406.6,150.1404254,4699,5588,6544,-25.862,39.87,,,,,,,
104,1666,TT25_trillium_trail_leaf_masses,Plate 1 G10,2.11,237.8,3874,2855,85.20395704,2.497,4.355,408.4,126.9751989,4095,4861,5705,-25.398,37.23,,,,,,,
105,6885,TT25_trillium_trail_leaf_masses,Plate 1 G11,2.43,237.1,3880,2862,85.45176822,3.677,3.971,407.9,130.2262976,4175,4966,5817,-23.346,33.15,,,,,,,
106,6894,TT25_trillium_trail_leaf_masses,Plate 1 G12,2.32,238.2,4130,3039,89.78088804,1.209,4.232,404.9,163.5289626,5028,6142,7002,3.204,43.67,,,,,,,
107,UT729,,,0.73,236.8,3531,2585,78.58582741,-3.666,9.316,418.6,48.26874109,1713,2042,2394,-13.03,40.97,,,,,,,
108,LGlu4510,,,1.216,236.7,6330,4862,137.9332,44.967,9.745,413.4,84.46139542,2897,3480,4045,-9.671,43.06,,,,,,,
109,ureaJT,,,2.562,,,,,,,413.9,82.86736566,2808,3256,3922,-44.977,19.97,,,,,,,
110,3427,TT25_trillium_trail_leaf_masses,Plate 1 H1,2.45,237.8,4732,3483,103.72755,1.825,4.501,405.8,151.768463,4742,5626,6608,-29.076,38.41,,,,,,,
111,4777C,TT25_trillium_trail_leaf_masses,Plate 1 H2,2.7,237.3,5007,3684,107.623063,1.371,4.319,403.7,171.1647616,5217,6194,7264,-28.346,39.32,,,,,,,
112,5904b,TT25_trillium_trail_leaf_masses,Plate 1 H3,2.17,237.5,5889,4338,128.2401234,2.21,5.74,407.4,136.7617271,4359,5162,6072,-29.147,39.1,,,,,,,
113,5852,TT25_trillium_trail_leaf_masses,Plate 1 H4,2.15,238.3,4219,3104,92.07877893,1.014,4.538,407.8,140.3609608,4443,5301,6191,-21.721,40.53,,,,,,,
114,5714,TT25_trillium_trail_leaf_masses,Plate 1 H5,2.53,237.4,6572,4831,140.6104669,0.017,5.482,402.7,184.3830015,5495,6607,7653,-15.632,45.28,,,,,,,
115,6887,TT25_trillium_trail_leaf_masses,Plate 1 H6,2.01,237.6,5229,3847,113.2034555,0.859,5.538,407.3,136.8792474,4372,5186,6090,-28.693,42.31,,,,,,,
116,4265,TT25_trillium_trail_leaf_masses,Plate 1 H7,2.24,237.8,4689,3453,101.772317,1.851,4.733,406.5,147.9533216,4639,5510,6463,-27.09,41.05,,,,,,,
117,4959,TT25_trillium_trail_leaf_masses,Plate 1 H8,2.16,238.1,4059,2990,88.83405286,1.883,4.414,407.3,140.7383488,4457,5322,6209,-20.975,40.5,,,,,,,
118,3563,TT25_trillium_trail_leaf_masses,Plate 1 H9,2.21,237.2,5184,3821,112.6692147,2.681,5.144,405.3,155.3372315,4826,5790,6721,-15.712,43.72,,,,,,,
119,5031,TT25_trillium_trail_leaf_masses,Plate 1 H10,2.32,237.8,5657,4165,121.742269,1.624,5.256,404.4,168.4286214,5136,6117,7154,-26.732,45.18,,,,,,,
120,6558,TT25_trillium_trail_leaf_masses,Plate 1 H11,2.28,237.8,3986,2936,86.54093401,2.06,4.18,407.3,142.7387644,4508,5414,6279,-14.545,38.95,,,,,,,
121,5229_red,TT25_trillium_trail_leaf_masses,Plate 1 H12,2.05,237.8,3289,2424,72.48700764,2.824,3.987,409,124.7845235,4024,4783,5607,-24.301,37.88,,,,,,,
122,UT729,,,1.704,237.7,8443,6182,183.1920577,-3.647,9.343,410.9,111.6757828,3694,4431,5149,-12.935,40.81,,,,,,,
123,LGlu4510,,,2.326,238,12590,9670,265.5670073,44.984,9.841,405.2,160.993538,5012,6059,6985,-9.699,43.12,,,,,,,
124,ureaJT,,,3.856,,,,,,,408.8,124.2869557,4019,4684,5603,-44.999,19.99,,,,,,,
125,5267,TT25_trillium_trail_leaf_masses,Plate 2 A1,2.15,237.8,4565,3362,99.04180176,2.097,4.784,407.9,131.9531629,4242,5036,5907,-26.187,38.24,,,,,,,
126,4444(2988),TT25_trillium_trail_leaf_masses,Plate 2 A2,2.19,237.8,3485,2568,76.19612164,2.436,3.946,407.4,139.6747362,4410,5491,6143,26.165,39.76,,,,,,,
127,4777A,TT25_trillium_trail_leaf_masses,Plate 2 A3,2.88,238.1,5897,4340,125.5171781,1.277,4.6,404.5,174.3341514,5285,6289,7358,-26.516,37.74,,,,,,,
128,86,TT25_trillium_trail_leaf_masses,Plate 2 A4,2.79,237.6,6796,5002,145.0916229,1.093,5.227,403.9,174.807761,5290,6289,7364,-27.988,39.08,,,,,,,
129,4712,TT25_trillium_trail_leaf_masses,Plate 2 A5,2.86,237.7,6239,4589,132.1939954,0.103,4.797,401.5,197.9925573,5811,7270,8089,27.362,43.22,,,,,,,
130,4431,TT25_trillium_trail_leaf_masses,Plate 2 A6,2.86,237.5,7190,5291,152.1980036,1.062,5.319,402,198.0853586,5803,6898,8077,-29.13,43.25,,,,,,,
131,2996A2,TT25_trillium_trail_leaf_masses,Plate 2 A7,2.44,237.7,5365,3951,115.9571691,2.059,4.895,405.2,157.11319,4862,5839,6769,-16.473,40.21,,,,,,,
132,flag2,TT25_trillium_trail_leaf_masses,Plate 2 A8,2.61,238.1,4324,3186,93.99955048,1.956,4.037,406.3,155.6677479,4815,5722,6704,-27.695,37.25,,,,,,,
133,3379,TT25_trillium_trail_leaf_masses,Plate 2 A9,2.76,237.8,5354,3937,114.8872396,0.737,4.456,401.8,192.2720597,5686,7119,7914,27.701,43.55,,,,,,,
134,4543(5232),TT25_trillium_trail_leaf_masses,Plate 2 A10,2.28,237.2,5806,4272,126.5281703,0.845,5.492,405.7,151.8172209,4728,5628,6583,-24.804,41.63,,,,,,,
135,989,TT25_trillium_trail_leaf_masses,Plate 2 A11,2.72,238.3,5082,3741,109.0742671,1.342,4.343,404,178.1431577,5361,6387,7465,-27.061,40.96,,,,,,,
136,1669,TT25_trillium_trail_leaf_masses,Plate 2 A12,2.71,237.8,5045,3712,109.0773526,1.156,4.354,403.9,173.8582906,5258,6464,7320,9.089,40.13,,,,,,,
137,UT729,,,0.936,237,4511,3304,100.2856182,-3.732,9.354,417.6,61.38423863,2145,2560,2993,-13.01,41.04,,,,,,,
138,LGlu4510,,,1.552,237.2,8172,6280,176.1010136,45.083,9.829,410.4,107.0416763,3576,4309,4989,-9.809,43.19,,,,,,,
139,ureaJT,,,4.94,,,,,,,405.3,158.5012004,4893,5719,6817,-45.038,19.99,,,,,,,
140,4105,TT25_trillium_trail_leaf_masses,Plate 2 B1,2.55,237.5,6464,4755,137.3768202,1.348,5.375,403,181.8997429,5458,6491,7596,-27.415,44.71,,,,,,,
141,5436,TT25_trillium_trail_leaf_masses,Plate 2 B2,2.3,238.2,5407,3980,117.2375687,1.802,5.159,407.6,143.5138178,4520,5365,6292,-26.732,39.09,,,,,,,
142,5771,TT25_trillium_trail_leaf_masses,Plate 2 B3,2.44,238.3,3552,2609,77.58837322,-0.545,3.723,408.2,140.7462537,4435,5507,6177,22.185,36.14,,,,,,,
143,452,TT25_trillium_trail_leaf_masses,Plate 2 B4,2.92,238.2,4590,3381,99.54948015,2.262,3.895,405.8,157.8211843,4879,6092,6794,27.833,33.86,,,,,,,
144,4582,TT25_trillium_trail_leaf_masses,Plate 2 B5,1.97,238,3747,2758,82.04001208,1.206,4.461,409.2,129.7329399,4159,4942,5793,-25.021,41.31,,,,,,,
145,6881,TT25_trillium_trail_leaf_masses,Plate 2 B6,2.37,238.1,4699,3463,101.777675,2.427,4.559,405.7,156.1921826,4850,5774,6754,-25.731,41.36,,,,,,,
146,flag1,TT25_trillium_trail_leaf_masses,Plate 2 B7,2.1,237.6,4078,3004,89.55245029,1.844,4.537,408.4,131.1213961,4177,5063,5819,-3.544,39.19,,,,,,,
147,1926,TT25_trillium_trail_leaf_masses,Plate 2 B8,2.73,238.1,5078,3743,108.4896171,2.84,4.319,403,183.934254,5494,7001,7650,48.665,42.31,,,,,,,
