SAMPLE,SAMPLE_number,Plant,Row,Sample,Asep,Sep,FOV,Date,Initials,Notes,Month,Day,MD,Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,Sterile,pots,ttu_colors,ttu_ids,PctH2O,Weight,Aseptate,Septate,Asep_root,Arb_root,Ves_root,Sep_root
2912-,2912,No plant,32,2,35,0,100,5/4/26,C.C.,,5,4,4-May,5,11,Tri,2912,PlantNW-SoilNW-FungWsterile,GM+,GM+,GM-sterile,Yes,1,white_blue,2912_Tri_white_blue,0.892241379,7.05,0.758389694,0,0,0,0,0
2912+,2912,Plant,2\8,2,62,0,100,5/29/26,C.C.,,5,29,29-May,5,11,Tri,2912,PlantNW-SoilNW-FungWsterile,GM+,GM+,GM-sterile,Yes,1,white_blue,2912_Tri_white_blue,0.870466321,7.72,1.257529762,0,0,0,0,0
2927-,2927,No plant,2\16,2,29,0,100,6/2/26,J.S.,,6,2,2-Jun,7,14,Tri,2927,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,2927_Tri_orange,1.159806295,7,0.486867015,0,0,0,0,0
2927+,2927,Plant,8,1,76,0,100,4/27/26,M.C.,,4,27,27-Apr,7,14,Tri,2927,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,2927_Tri_orange,0.896017699,5.71,2.024681672,0,0,0,0,0
2941-,2941,No plant,72,1,39,0,100,5/26/26,C.C.,,5,26,26-May,6,6,Tri,2941,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,2941_Tri_purple,0.890547264,6.63,0.900305619,0,0,0,0,0
2941+,2941,Plant,75,2,49,0,100,5/26/26,C.C.,,5,26,26-May,6,6,Tri,2941,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,2941_Tri_purple,0.886538462,6.36,1.184505927,0,0,0,0,0
2980-,2980,No plant,41,1,46,0,100,5/3/26,C.C.,,5,3,3-May,6,11,Tri,2980,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,2980_Tri_white,0.882998172,7.17,0.990318124,0,0,0,0,0
2980+,2980,Plant,2\26,1,148,0,100,6/4/26,J.S.,3 vesicles found,6,4,4-Jun,6,11,Tri,2980,PlantNW-SoilNW-FungW,GM+,GM+,GM-,No,1,white,2980_Tri_white,0.880478088,7.39,3.100234754,0,0,0,0,0
2988-,2988,No plant,33,1,43,5,100,5/4/26,C.C.,,5,4,4-May,5,33,Tri,2988,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,2988_Tri_yellow,0.87458194,7.77,0.862467597,0.10028693,0,0,0,0
2988+,2988,Plant,73,2,,,,,,,,,,5,33,Tri,2988,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,2988_Tri_yellow,0.87593985,6.63,,,0,0,0,0
