SAMPLE,SAMPLE_number,Plant,Row,Sample,Asep,Sep,FOV,Date,Initials,Notes,Month,Day,MD,Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,Sterile,pots,ttu_colors,ttu_ids,PctH2O,Weight,Aseptate,Septate,Asep_root,Arb_root,Ves_root,Sep_root
3379+,3379,Plant,2\28,2,58,6,100,6/4/26,J.S.,,6,4,4-Jun,6,11,Tri,3379,PlantNW-SoilNW-FungNWsterile,GM+,GM+,GM+sterile,Yes,1,blue_blue,3379_Tri_blue_blue,0.859683794,7.46,1.232668455,0.127517426,0,0,0,0
3427-,3427,No plant,2\12,2,35,0,100,5/29/26,C.C.,,5,29,29-May,7,35,Tri,3427,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,3427_Tri_green,0.87195122,7.79,0.702318734,0,0,0,0,0
3427+,3427,Plant,2\5,2,36,0,100,5/28/26,C.C.,,5,28,28-May,7,35,Tri,3427,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,3427_Tri_green,0.926335175,7.15,0.74083955,0,0,0,0,0
3526-,3526,No plant,31,2,52,0,100,5/4/26,C.C.,,5,4,4-May,7,35,Tri,3526,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,3526_Tri_green,0.864150943,6.83,1.200850346,0,0.01,0,0,0
3526+,3526,Plant,15,1,86,0,100,4/29/26,C.C.,,4,29,29-Apr,7,35,Tri,3526,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,3526_Tri_green,0.901639344,5.45,2.385420518,0,0.01,0,0,0
3563-,3563,No plant,22,2,29,0,100,5/1/26,C.C.,,5,1,1-May,3,4,Tri,3563,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,3563_Tri_purple,0.890384615,5.8,0.765399568,0,0,0,0,0
3563+,3563,Plant,15,2,61,1,100,4/29/26,C.C.,,4,29,29-Apr,3,4,Tri,3563,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,3563_Tri_purple,0.875457875,5.11,1.858529834,0.030467702,0,0,0,0
3708-,3708,No plant,68,2,39,1,100,5/22/26,C.C.,,5,22,22-May,4,10,Tri,3708,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,3708_Tri_blue,0.865008881,6.53,0.941080371,0.024130266,0,0,0,0
3708+,3708,Plant,55,2,68,0,100,5/21/26,C.C.,,5,21,21-May,4,10,Tri,3708,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,3708_Tri_blue,0.87295082,8.76,1.212023066,0,0,0,0,0
3829-,3829,No plant,2\16,1,55,0,100,6/2/26,J.S.,,6,2,2-Jun,5,33,Tri,3829,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,3829_Tri_yellow,0.870242215,8.15,1.056965446,0,0,0,0,0
3829+,3829,Plant,20,2,59,1,100,5/1/26,C.C.,,5,1,1-May,5,33,Tri,3829,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,3829_Tri_yellow,0.892367906,6.59,1.367472213,0.023177495,0,0,0,0
4000-,4000,No plant,2\20,2,60,0,100,6/3/26,J.S.,2 vesicles found,6,3,3-Jun,5,20,Tri,4000,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4000_Tri_red,0.871892925,7.54,1.243977733,0,0,0,0,0
4000+,4000,Plant,2\20,1,96,0,100,6/1/26,J.S.,,6,1,1-Jun,5,20,Tri,4000,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4000_Tri_red,0.880910683,7.57,1.962182204,0,0,0,0,0
4081-,4081,No plant,1,2,41,0,100,4/26/26,,,4,26,26-Apr,7,18,Tri,4081,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4081_Tri_green,0.865525672,5.88,1.0980508,0,0,0,0,0
4081+,4081,Plant,40,2,65,3,100,5/8/26,C.C.,,5,8,8-May,7,18,Tri,4081,PlantNW-SoilW-FungNW,GM+,GM-,GM+,No,1,green,4081_Tri_green,0.875,5.46,1.854421769,0.085588697,0,0,0,0
4105-,4105,No plant,25,2,40,0,100,5/1/26,C.C.,,5,1,1-May,5,10,Tri,4105,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4105_Tri_purple,0.890538033,5.96,1.027204978,0,0,0,0,0
4105+,4105,Plant,30,2,72,1,100,5/4/26,C.C.,,5,4,4-May,5,10,Tri,4105,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4105_Tri_purple,0.89678511,6.39,1.712533617,0.023785189,0,0,0,0
4109-,4109,No plant,2\4,1,33,2,100,5/28/26,C.C.,,5,28,28-May,5,32,Tri,4109,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4109_Tri_red,0.870722433,7.93,0.65141368,0.039479617,0.01,0,0,0.01
4109+,4109,Plant,54,1,41,4,100,5/19/26,,,5,19,19-May,5,32,Tri,4109,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4109_Tri_red,0.875,6.83,0.93508471,0.091227777,0.01,0,0,0.01
4149-,4149,No plant,,,28,0,,,,,,,,5,13,Tri,4149,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4149_Tri_red,0.891107078,5.26,0.814213408,0,0,0,0,0
4149+,4149,Plant,63,1,51,1,100,5/22/26,C.C.,,5,22,22-May,5,13,Tri,4149,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4149_Tri_red,0.83992467,5.36,1.544048383,0.030275458,0,0,0,0
4177-,4177,No plant,12,2,34,1,100,4/29/26,C.C.,,4,29,29-Apr,5,14,Tri,4177,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,4177_Tri_orange,0.915413534,5.17,0.979189845,0.028799701,0,0,0,0
4177+,4177,Plant,18,1,15,0,100,4/30/26,,,4,30,30-Apr,5,14,Tri,4177,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,4177_Tri_orange,0.854805726,6.09,0.392737526,0,0,0,0,0
4265-,4265,No plant,6,2,86,0,100,4/24/26,C.C.,,4,24,24-Apr,5,31,Tri,4265,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4265_Tri_red,0.959401709,5.64,2.166280625,0,0,0,0,0
4265+,4265,Plant,91,1,67,1,100,5/28/26,C.C.,Abnormally High,5,28,28-May,5,31,Tri,4265,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,4265_Tri_red,0.894144144,5.11,1.998675191,0.029830973,0,0,0,0
4373-,4373,No plant,2\15,1,30,0,100,5/29/26,C.C.,,5,29,29-May,6,2,Tri,4373,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4373_Tri_pink,0.867886179,7.43,0.634111347,0,0,0,0,0
4373+,4373,Plant,36,2,61,2,100,5/3/26,C.C.,,5,3,3-May,6,2,Tri,4373,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4373_Tri_pink,0.891129032,6.44,1.448769287,0.047500632,0,0,0,0
4414-,4414,No plant,31,1,47,0,100,5/4/26,C.C.,,5,4,4-May,5,22,Tri,4414,PlantNW-SoilW-FungW,GM+,GM-,GM-,No,1,purple,4414_Tri_purple,0.896414343,6.55,1.091047396,0,0,0,0,0
