id,machine,anet,gsw,iwue,ci.ca,Vcmax,Jmax,Rd,TPU,leaf_length_cm,tla_cm2_allo
1374,stan,1.529004063,0.015462165,98.88680292,0.551545524,11.56570921,25.41488266,0.803779923,NA,6.5,61.43408363
1647,yadi,0.115296305,0.00809024,14.25128365,0.911306059,3.586022022,10.0181281,0.826224151,NA,5.5,42.54004225
1666,albert,-0.199501332,0.001711342,NA,0.396315258,2.264081461,5.795374785,1.056590846,NA,5.1,36.02918078
1669,stan,0.44406416,0.005578587,79.60154925,0.450193776,6.554301691,16.83944554,1.013512927,NA,6.1,53.42267582
1686,yadi,-0.263915551,0.002475603,NA,NA,2.637340747,7.121785175,1.213722597,NA,7.2,76.93633466
1750,yadi,2.652848594,0.026809715,98.95101785,0.542091251,20.68839943,53.63850699,1.108922731,NA,6.4,59.37395005
1827,gibson,3.013288744,0.02849561,105.7457181,0.571588694,21.40672235,52.6482577,0.831838747,NA,5.5,42.54004225
1851,gibson,0.165881096,0.002357868,70.35215542,0.613433681,3.011373509,8.01231296,0.217727869,NA,5.3,39.21090925
1926,gibson,1.631341476,0.016680786,97.79764088,0.561809591,18.35779416,47.28622957,1.47947356,NA,6.1,53.42267582
1975,gibson,3.404857837,0.019985545,170.3660256,0.270998395,48.32972427,101.4918817,0.631140225,NA,6.5,61.43408363
2131,stan,1.883039325,0.012839309,146.6620441,0.357148887,69.05656022,84.29743018,6.005861648,NA,5.7,46.01767605
2276,yadi,-0.055103671,0.004198884,NA,NA,3.150887187,7.085526074,0.960871746,NA,4.8,31.53049016
2289,yadi,2.227083559,0.021385472,104.1400235,0.540739876,21.55081902,52.78549314,1.345429292,NA,7,72.31288492
2329,albert,0.277309449,0.009438293,29.38131306,0.823724606,4.174347161,11.49221579,0.922573838,NA,7.8,91.75043372
2379,stan,0.287217216,0.008679278,33.09229178,0.775113621,6.183617648,11.42420133,1.375433962,NA,4.9,32.99372696
2382,stan,0.131541581,0.016739822,7.858003773,0.906491873,2.147408709,6.578260125,0.482457284,NA,4.9,32.99372696
2416,yadi,0.209583706,0.007910648,26.49387332,0.795530314,4.035013416,11.36144969,0.794195717,NA,4.4,26.03729648
2547,yadi,-0.193447844,0.007234533,NA,NA,3.039213416,5.608356818,1.003288398,0.391323559,5.9,49.64487547
2563,yadi,0.198935906,0.004080862,48.74850117,0.917654933,4.321809051,12.69715802,0.761380085,NA,5.6,44.26022929
2573,stan,1.031673289,0.007724746,133.5543396,0.38433413,30.53522816,40.40288573,3.74678394,2.173005219,7.9,94.35818984
2703,stan,1.231051654,0.011150929,110.3990213,0.478271903,15.59604751,24.21024976,1.671780455,NA,6.5,61.43408363
2912,stan,1.252852654,0.011946111,104.8753568,0.527704327,16.90966539,32.1312178,1.794976709,NA,5,34.49324154
2927,stan,-0.058052903,0.005997499,NA,0.848684685,2.023616268,4.155799955,0.641092281,NA,6,51.51488692
2941,gibson,1.01117085,0.017527032,57.69207499,0.744842718,22.21502571,63.14376122,3.817985447,NA,6.3,57.3520847
2980,ozzie,1.377002489,0.014825178,92.88269651,0.567697112,10.73872749,27.47274974,0.78555108,NA,5.6,44.26022929
2988,albert,0.194421174,0.004969023,39.12663676,0.508932676,4.395749716,10.31521378,1.041752058,NA,6.1,53.42267582
2996A1,ozzie,2.64580935,0.014921764,177.3120997,0.210686021,35.39278334,68.9172783,0.789594701,NA,NA,NA
2996A2,albert,-0.084678067,0.0044032,NA,NA,1.862627748,5.602596797,0.643232649,NA,5,34.49324154
2996A3,yadi,-0.048303355,0.003212264,NA,0.921679043,4.272762523,8.521093057,1.357197972,NA,7,72.31288492
3004,yadi,0.155246812,0.002582605,60.11248797,0.496512233,6.134084591,11.57202241,0.742514432,NA,6.5,61.43408363
3031,stan,-0.127314949,0.002004627,NA,NA,7.194913998,10.91434416,2.183238121,0.644039383,6.5,61.43408363
3043,albert,3.043868056,0.034726641,87.65224656,0.610510074,17.81651396,45.36784897,0.838089402,NA,5.6,44.26022929
3077,gibson,0.253672754,0.006048007,41.9431961,0.775187639,10.62485326,28.30581259,2.396117397,NA,5.5,42.54004225
3305,gibson,-0.105742179,0.005925187,NA,NA,1.282674273,3.486450689,0.265608213,NA,4.4,26.03729648
3371,gibson,-0.172823614,0.002546648,NA,NA,1.345081278,4.204872253,0.649469766,NA,6,51.51488692
3526,gibson,0.088930215,0.006758309,13.1586481,0.832476412,13.62413723,21.71210099,3.721679382,NA,5.2,37.60168925
3563,albert,0.126577176,0.003323729,38.08288645,0.775157318,3.612409472,8.375269187,0.752710705,NA,4.6,28.71225019
3708,gibson,0.181233225,0.005988132,30.26540121,0.838153307,5.537545026,14.34947021,1.413600554,NA,6.6,63.53260431
3829,yadi,0.058138581,0.003296197,17.63807967,NA,8.247384711,13.93027443,2.015943762,0.91080742,4.6,28.71225019
392,yadi,-0.188787505,0.006126526,NA,NA,1.420539676,4.270265572,0.487585449,NA,5.2,37.60168925
4000,gibson,2.024944757,0.019217338,105.3707208,0.529415444,21.11065925,50.21089908,1.837427469,NA,7.5,84.16563017
4081,albert,-0.139468471,0.004037786,NA,NA,1.612069215,4.330691019,0.619620003,NA,4.8,31.53049016
4105,albert,-0.111019919,0.003584501,NA,NA,1.183627041,3.649085201,0.437041475,NA,5.4,40.8569809
4109,stan,-0.155719847,0.004833417,NA,NA,6.615857267,12.26437299,2.335392692,0.863671582,4.8,31.53049016
4149,gibson,0.715728044,0.007219697,99.13546557,0.514798147,11.01368089,22.23942954,1.666255416,NA,7.1,74.60507429
4177,albert,2.132263409,0.018862076,113.0450015,0.558399348,15.91440992,37.23809857,0.730244912,NA,7.1,74.60507429
4265,yadi,-0.050566173,0.005541186,NA,NA,3.639224376,9.739777423,1.037600116,NA,6.4,59.37395005
43,gibson,1.649321402,0.017538437,94.04038695,0.541539019,11.64692186,30.35830196,0.790029773,NA,7.1,74.60507429
4373,stan,1.02003027,0.00863916,118.0705387,0.377020688,20.7785925,33.23668382,2.777222487,NA,5.1,36.02918078
4414,albert,0.227505279,0.004169256,54.56735414,0.796709387,5.410479839,14.92109111,1.00300485,NA,5.5,42.54004225
4444(2988),ozzie,2.395362528,0.020497279,116.8624632,0.490213204,16.61665622,33.9140515,0.772624765,NA,7.5,84.16563017
4452,gibson,-0.295591399,0.004336844,NA,NA,4.376983438,11.24464043,1.82497459,NA,6.9,70.05965585
4505,albert,-0.222927881,0.006131696,NA,NA,2.362767051,6.599583978,0.988497616,NA,5.9,49.64487547
4511,yadi,0.277116009,0.005693725,48.67042358,0.731474516,6.446025104,12.42526476,1.271116223,NA,8.1,99.6935455
452,albert,1.086874795,0.00942269,115.3465523,0.528151344,10.63695173,22.83355537,0.753202116,NA,5.5,42.54004225
4547,stan,0.114561748,0.002348519,48.78041652,0.478681221,NA,NA,NA,NA,NA,NA
4576,ozzie,3.970314995,0.026264778,151.1649946,0.374119582,34.19723023,71.25191267,0.716502763,NA,6.6,63.53260431
4582,yadi,-0.369325717,0.002617288,NA,NA,2.884280517,6.195914444,1.226582251,NA,5,34.49324154
4712,albert,0.131663902,0.007484091,17.59250326,0.900105805,3.327297424,10.78387777,0.668616412,NA,5.9,49.64487547
4714,yadi,0.983110476,0.00395222,248.7489453,-1.287482267,27.30378122,38.39177343,2.844398538,NA,6.1,53.42267582
4745,gibson,1.660897413,0.018578454,89.39912034,0.593302393,12.85503854,32.86547179,0.969283176,NA,5.2,37.60168925
4760,gibson,0.353293752,0.005689165,62.09940334,0.671968217,3.612732675,9.040249451,0.430674762,NA,4.9,32.99372696
4777A,stan,-0.08386552,0.003277559,NA,0.852364434,4.615180212,8.549228335,1.23651779,NA,6.6,63.53260431
