id,machine,anet,gsw,iwue,ci.ca,Vcmax,Jmax,Rd,TPU,leaf_length_cm,tla_cm2_allo
4777C,gibson,2.954182324,0.03186708,92.70326258,0.580578434,16.85679189,39.46961906,0.698455055,NA,5.9,49.64487547
482,yadi,0.795178699,0.011730144,67.78933583,0.691529179,7.102508718,17.64168998,0.863115063,NA,6.4,59.37395005
4934,yadi,-0.135212028,0.006619137,NA,NA,2.38469813,4.218071427,0.693297902,NA,4.8,31.53049016
4942,albert,-0.384474221,0.002449176,NA,NA,5.646081984,10.6924545,2.233331464,NA,5.3,39.21090925
4959,albert,-0.510526607,0.00678681,NA,NA,1.834306793,4.719372548,1.107403412,NA,6.6,63.53260431
4990,yadi,3.509764022,0.024875988,141.0904372,0.388426083,32.66507725,75.18324515,0.878055249,NA,7.4,81.71650495
5040,ozzie,0.661972417,0.00733012,90.3085364,NA,6.867149206,15.94879939,0.60288966,NA,7,72.31288492
5060,ozzie,0.429692613,0.007452434,57.65802368,0.770687795,5.559493575,14.54542313,0.733716671,NA,5.8,47.81251468
5115,stan,-0.516050391,0.002270497,NA,NA,4.514900761,9.920564012,2.379877195,NA,6.9,70.05965585
5228,albert,0.69666941,0.011768373,59.19844973,0.706594052,8.081899533,24.02469096,0.907158005,NA,7.1,74.60507429
5229_blue,yadi,-0.107330204,0.005375378,NA,NA,1.634005198,5.1500357,0.616247329,NA,6.4,59.37395005
5229_red,gibson,1.299605434,0.01357672,95.72308138,0.646536209,25.94271591,36.83069376,4.41466459,NA,6.2,55.36836726
5267,yadi,-0.172937408,0.002053839,NA,NA,NA,NA,NA,NA,5.1,36.02918078
5381,stan,3.389357576,0.023390501,144.9031629,0.33927578,38.29944048,83.71312825,1.130545015,NA,7.3,79.30677547
5436,stan,-0.0077152,0.003248932,NA,0.325537502,2.692703154,5.483816426,0.859858845,0.39451194,5.7,46.01767605
552,yadi,-0.251676301,0.004453622,NA,NA,3.332110981,7.365328089,1.295634671,NA,5.9,49.64487547
5619,albert,-0.06131415,0.00214466,NA,NA,2.638384122,6.782475148,0.855111329,NA,6.1,53.42267582
5626,gibson,-0.22905271,0.002635986,NA,NA,NA,NA,NA,NA,5.9,49.64487547
5641,yadi,0.171591946,0.004657019,36.84587384,0.779949359,4.267818547,12.01732021,0.60165465,NA,6.2,55.36836726
5714,yadi,0.142999418,0.003934924,36.34108766,0.760248515,9.010749371,12.88783345,1.684885772,NA,5.3,39.21090925
5722,yadi,0.05370212,0.003161084,16.98851407,0.891281258,2.706406943,7.741237597,0.647825758,NA,6.1,53.42267582
5742,ozzie,-0.618181299,-0.000187561,3295.896931,NA,NA,NA,NA,NA,5.6,44.26022929
5771,gibson,2.520486616,0.02618498,96.2569627,0.550422399,17.356197,39.79416543,0.631284799,NA,5.5,42.54004225
583,albert,0.367517887,0.005162979,71.18330076,0.679354769,7.061984597,13.57313035,1.118489647,NA,6,51.51488692
5852,ozzie,-0.127662556,0.000998929,NA,NA,2.163766199,6.229874123,0.819540956,NA,5.4,40.8569809
5865,gibson,-0.269947664,0.004507356,NA,NA,1.829858765,5.324774367,0.900813554,NA,4.8,31.53049016
5877,gibson,0.047244219,0.010024751,4.712757354,0.883874305,3.105747606,5.480693756,0.628235944,NA,7.2,76.93633466
5904,yadi,-0.055352633,0.003319733,NA,0.900770907,2.323753083,5.42849395,0.712009097,NA,4.5,27.35694078
614,yadi,1.504300387,0.00915424,164.3282579,0.303543199,40.28046033,69.2561239,2.101583353,NA,6.1,53.42267582
632,albert,-0.060068151,0.006948284,NA,NA,1.85002086,4.819561495,0.616575082,NA,5,34.49324154
6507,albert,0.430141368,0.006933948,62.03412082,0.71319542,5.63884108,14.64151478,0.806403607,NA,5.9,49.64487547
6558,albert,0.573175585,0.012130243,47.25177903,0.793346685,5.87569892,15.91798245,0.878454371,NA,6.5,61.43408363
6875,stan,1.686944844,0.016317314,103.3837336,0.522070941,16.07841425,36.94975775,1.160611451,NA,7.1,74.60507429
6879,gibson,-0.013387395,0.002747377,NA,0.959532994,NA,NA,NA,NA,4.7,30.10338185
6881,gibson,-0.132707823,0.00261129,NA,NA,2.711471151,4.811376328,0.80185113,0.327529377,4.3,24.75315733
6885,stan,-0.048046396,0.002489452,NA,0.77880291,3.388234169,6.93668346,1.106262453,NA,4.9,32.99372696
6894,stan,4.528378127,0.045097374,100.4133437,0.581878254,26.23024928,60.30325071,0.693085236,NA,2.1,5.115433561
7147,yadi,0.178438999,-3.07E-05,NA,NA,19.06047198,29.9893305,4.776861874,NA,6.6,63.53260431
7574,albert,0.961593334,0.007796984,123.3288789,0.475162044,12.7720511,22.73163162,1.158693034,NA,4.7,30.10338185
774,gibson,0.448640889,0.005366186,83.60516239,0.639755616,5.322730335,13.51513728,0.415689302,NA,6.5,61.43408363
902,ozzie,1.053311665,0.011513234,91.48703343,0.575888742,9.271648767,24.32352112,0.713472766,NA,7.2,76.93633466
9145,stan,1.049454132,0.008742128,120.045615,0.424868094,10.13244169,23.21655456,0.707904336,NA,6.4,59.37395005
916,ozzie,0.72315436,0.010790846,67.01553738,0.674397266,7.699026803,21.26256337,0.838902967,NA,4.6,28.71225019
955,gibson,1.513121975,0.016944253,89.30000973,0.579501811,10.1349374,26.84779869,0.999020858,NA,6.5,61.43408363
972,albert,1.442878178,0.01390103,103.7964975,0.548434298,11.15256164,25.75675252,0.813556022,NA,6.5,61.43408363
978,stan,0.268103207,0.005608976,47.79895516,0.686046843,7.372035078,12.64452131,1.561790668,NA,4.8,31.53049016
989,albert,-0.037069885,0.002401236,NA,NA,2.327207683,6.596586409,1.047283944,NA,5.5,42.54004225
flag1,albert,0.0120064,0.005016946,2.393169071,0.919965826,2.256233906,5.980798218,0.5427327,NA,5.1,36.02918078
flag2,albert,-0.131001282,0.002167695,NA,NA,1.981856786,5.019001176,0.85203505,NA,4,21.11212657
flag3,stan,-0.287434802,0.002674502,NA,NA,1.465578428,3.384842829,0.513305276,NA,5.7,46.01767605
