date,id,alive_dead,height_cm,leaf_number,stem_number,flowering,senescing,gasket,shoot_mass_g,root_mass_g,rhizome_mass_g,note
12/23/25,2996A2,alive,10.1,3,1,n,n,good,0.16,0.95,7.32,
12/24/25,2996A3,alive,7.1,3,1,n,n,good,1.07,0.81,7.75,droopy
12/24/25,3004,alive,15.1,3,1,n,n,good,2.01,1.09,8.29,
12/22/25,3031,alive,10.2,3,1,n,n,good,2.29,1.64,6.88,
12/22/25,3043,alive,18.2,3,1,n,n,good,3.44,3.74,15.59,
12/23/25,3071,dead,0,0,0,n,n,good,0,0.64,9.76,
12/24/25,3077,alive,10.3,3,1,y,n,good,2.12,1.19,14.6,
12/24/25,3305,dead,2.9,3,1,n,n,good,0.18,0.19,4.25,droopy
12/24/25,3309,alive,2.4,3,1,n,n,good,0.14,0.47,8.93,not unwhorled
12/22/25,3371,alive,9.1,3,1,n,n,good,1.7,1.68,10.06,
12/23/25,3379,alive,6.1,3,1,n,n,good,1.04,1.32,5.07,
12/24/25,3427,alive,4.5,3,1,n,y,good,0.21,0.42,1.76,
12/24/25,3526,alive,13.1,3,1,n,n,good,2.08,1.66,11.6,
12/24/25,3563,alive,3.6,3,1,n,n,good,0.71,0.69,3.41,
12/22/25,3708,alive,16.5,3,1,n,n,good,4.36,1.13,18.06,the scan envelope is wrong; is actually 3708 moved to correct envelope
12/23/25,3829,alive,10.2,3,1,n,y,good,1.52,0.55,11.44,
12/22/25,392,dead,10.9,3,1,n,y,good,1.54,0.42,7.69,
12/22/25,4000,alive,19.5,3,1,y,n,good,6.71,2.08,22.51,
12/23/25,4081,alive,8,3,1,n,y,good,0.99,0.68,3.48,
12/24/25,4105,alive,6.1,3,1,n,y,good,1.28,0.98,12.74,
12/23/25,4109,alive,16.1,3,1,n,n,good,3.28,1.03,12.05,
12/22/25,4149,alive,14.8,3,1,y,n,good,4.44,1.2,11.36,
12/23/25,4177,alive,15.5,3,1,y,n,good,2.82,1.29,11.85,
12/24/25,4265,alive,12.9,3,1,n,y,good,2.07,1.49,13.42,
12/23/25,43,alive,20.5,3,1,n,n,good,3.7,1.33,11.76,
12/23/25,4373,alive,17.1,3,1,n,n,good,1.46,0.31,5.25,garlic mustard rosette growing in pot
12/24/25,4414,alive,6.2,3,1,n,n,good,1.75,1.52,8.97,
12/23/25,4431,alive,4.5,3,1,n,n,good,0.8,0.96,23.44,not unwhorled
12/22/25,4444(2988),alive,18.4,3,1,y,n,good,5.42,1.31,12.64,
12/24/25,4452,alive,23.7,3,1,n,n,good,3.19,1.35,13.33,
12/23/25,4505,alive,19.4,6,2,y,y,good,5.67,2.33,20.33,
12/24/25,4511,alive,18.4,6,2,y,n,good,6.5,4.77,25.38,
12/23/25,452,alive,17.9,3,1,n,n,good,3.06,1.62,10.34,
12/23/25,4543(5232),alive,5.8,3,1,n,n,good,0.64,0.17,3.38,
12/22/25,4547,alive,7.6,3,1,n,n,good,1.88,1.04,14.37,
12/22/25,4576,alive,15.4,3,1,n,n,good,2.58,1.22,8.66,
12/22/25,4582,alive,13.8,3,1,n,n,good,1.43,0.84,7.49,
12/23/25,4712,alive,10,3,1,n,n,good,1.62,0.39,6.31,
12/23/25,4714,alive,13.6,3,1,y,n,good,2.87,1.49,20.54,
12/24/25,4745,alive,11.2,3,1,n,n,good,3.22,2.62,16.1,
12/23/25,4760,alive,12.1,3,1,n,n,good,1.09,0.31,4.2,
12/22/25,4777A,other,7.1,3,1,n,y,good,1.28,0.94,9,
12/23/25,4777B,alive,4.5,3,1,n,n,good,0.28,0.19,1.48,
12/22/25,4777C,dead,8.9,3,1,n,n,good,0.76,0.46,2.5,peticole pinched
12/24/25,482,alive,12.9,3,1,n,n,good,3.12,1.52,6.38,
12/22/25,4934,alive,9.8,3,1,n,n,good,1.35,0.66,4.85,
12/23/25,4942,alive,8.5,3,1,n,y,good,0.63,0.81,3.66,
12/23/25,4959,alive,13.6,3,1,y,n,good,3.2,2.03,4.84,
12/24/25,4990,alive,15.9,6,2,y,n,good,6.75,2.86,21.99,
12/23/25,5031,alive,4.2,3,1,n,n,good,0.32,0.53,10.55,not unwhorled
12/23/25,5040,alive,14.8,3,1,y,n,good,2.33,0.85,7.28,
12/22/25,5060,alive,10.6,3,1,n,n,good,2.86,0.45,15.12,
12/22/25,5115,alive,11.2,3,1,n,y,good,1.43,0.88,7.16,
12/23/25,5228,alive,9.5,3,1,n,n,good,2.63,0.92,6.8,
12/22/25,5229_red,alive,12.4,3,1,n,n,good,1.93,1.75,8.26,
12/22/25,5229_blue,dead_other,7.9,3,1,n,n,good,1.88,0.7,12.09,peticole pinched
12/22/25,5267,alive_other,0.8,3,1,n,y,good,0.48,0.57,3.77,"cryovial has handwritten ""5267_b"""
12/24/25,5381,alive,10.6,3,1,n,n,good,2.6,1.32,5.87,
12/23/25,5403,dead,0,0,0,n,n,good,0,0,10.17,rotted?
12/23/25,5436,alive,9,3,1,n,y,good,1.31,1.24,8.04,
12/24/25,5488,dead,0,0,0,n,n,good,0,1.95,16.54,
12/24/25,552,alive,2.1,3,1,n,y,good,0.6,1.04,4.81,
12/23/25,5619,alive,8.1,3,1,n,n,good,1.11,1.51,5,
12/23/25,5626,alive,13.4,6,2,n,n,good,3,0.14,17.84,
12/23/25,5641,alive,6.3,3,1,y,n,good,2.03,1.04,7.72,
12/23/25,5714,alive,7.7,3,1,y,n,good,1.86,1.02,9.26,
12/22/25,5722,alive,10.9,3,1,y,n,good,3.44,2.65,16.93,
12/23/25,5742,alive,11.8,3,1,n,n,good,2.25,1.56,8.23,
12/22/25,5771,alive,15.8,6,2,n,n,good,4.46,1.68,6.82,"cryovial reads ""5267_tri_pink"" but should be ""5771"""
12/23/25,583,alive,13.5,3,1,n,y,good,1.23,1.33,10.74,
12/23/25,5852,alive,10.4,3,1,n,n,good,1.61,1.63,11.07,
12/22/25,5865,alive,6.5,3,1,n,y,good,0.96,0.53,6.75,
12/22/25,5877,alive,15.2,3,1,n,n,good,2.88,1.11,9.11,
12/24/25,5904,alive,5.4,2,1,n,n,good,0.33,1.03,4.83,droopy
12/23/25,614,alive,12.5,6,2,n,n,good,6.12,1.45,29.71,
12/24/25,632,alive,12.2,3,1,n,y,good,1.61,0.59,10.38,
12/23/25,6507,alive,10.5,6,2,n,n,good,3.37,3.02,15.56,
12/23/25,6558,alive,11.6,3,1,n,n,good,2.46,2.48,11.37,
12/23/25,684,alive,0.8,3,1,n,n,good,0.04,1.59,8.5,"not unwhorled, other"
12/22/25,6875,alive,14.9,3,1,y,n,good,4.86,1.44,11.51,
12/24/25,6879,alive,3.5,3,1,n,n,good,0.8,0.83,4.09,droopy
12/23/25,6881,alive,8.5,6,2,n,n,good,1.8,1.05,11.34,
12/23/25,6885,alive,10.8,3,1,n,y,good,0.61,0.85,2.98,
12/23/25,6887,dead,0,0,0,n,n,good,0.1,1.05,3.72,leaf buried
12/23/25,6894,alive,13.7,3,1,n,n,good,1.23,0.66,5.18,
12/23/25,7120,alive,5,6,2,n,n,good,0.6,0.04,8.33,
12/22/25,7147,alive,15,3,1,y,n,good,3.5,1.34,13.84,
12/23/25,7574,alive,9.3,3,1,n,n,good,2.2,0.93,38.28,leaf -20?C stripped
12/22/25,774,alive,13.9,3,1,n,n,good,2.1,3.66,13.13,
12/24/25,827,dead,0,0,0,n,n,good,0.01,1.18,10.49,leaf under ground
12/23/25,86,alive,3.7,3,1,n,y,good,0.61,0.43,9.35,
12/23/25,902,alive,10.1,3,1,n,n,good,1.76,1.01,3.92,
12/24/25,9145,alive,17.4,3,1,n,n,good,2.89,2.79,22.42,
12/22/25,916,alive,10.2,3,1,n,n,good,1.91,0.3,19.56,
12/24/25,955,alive,13,6,2,n,n,good,6.59,3.24,22.04,
12/22/25,972,alive,18.3,3,1,n,n,good,5.23,2.47,21.15,
12/23/25,978,alive,13.5,3,1,n,n,good,1.96,2.01,8.13,
12/23/25,989,alive,9.3,9,3,n,y,good,3.07,1.6,25.02,2-3 rhizomes
12/23/25,flag1,alive,12,6,2,n,n,good,2.41,1.32,12.56,
12/23/25,flag2,alive,8.2,3,1,n,y,good,0.54,0.46,5.03,
12/23/25,flag3,alive,10.4,3,1,n,y,good,1.49,0.97,9.38,
