"id","plot_field","subplot_field","spp","FullExpTrt","PlantGMTrt","ExpSoilSource","ExpFungSource","nmass","leaf_d15n","cmass","leaf_cn","leaf_d13c"
"43",5,9,"Tri","PlantW-SoilNW-FungWsterile","W","NW","Wsterile",0.04181,2.14,0.4179,0.100047858339316,-11.133
"86",5,9,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.05227,1.093,0.3908,0.133751279426817,-27.988
"392",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.039,1.104,0.3453,0.112945264986968,-26.999
"452",3,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.03895,2.262,0.3386,0.115032486709982,27.833
"482",5,22,"Tri","PlantNW-SoilNW-FungNW","NW","NW","NW",0.04779,1.138,0.3896,0.122664271047228,-10.496
"552",3,14,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04555,1.702,0.405,0.112469135802469,-27.559
"583",3,23,"Tri","PlantNW-SoilNW-FungW","NW","NW","W",0.04474,2.405,0.3917,0.11422006637733,-22.984
"614",5,11,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.05205,2.097,0.4569,0.113919894944189,48.719
"632",7,8,"Tri","PlantW-SoilW-FungW","W","W","W",0.04305,2.145,0.402,0.107089552238806,-22.809
"684",6,2,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.06393,1.555,0.4036,0.158399405351833,-27.292
"762",6,2,"Tri","PlantW-SoilNW-FungNWsterile","W","NW","NWsterile",NA,NA,NA,NA,NA
"774",3,20,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.03849,1.77,0.3974,0.0968545546049321,-4.761
"827",4,9,"Tri","PlantW-SoilNW-FungNW","W","NW","NW",0.06365,1.517,0.4063,0.156657642136352,-28.546
"902",3,7,"Tri","PlantW-SoilW-FungNW","W","W","NW",0.04426,2.507,0.3986,0.111038635223281,-0.107
"916",3,16,"Tri","PlantNW-SoilW-FungNWsterile","NW","W","NWsterile",0.0414,2.024,0.4147,0.0998312032794791,-3.991
"955",3,8,"Tri","PlantW-SoilNW-FungW","W","NW","W",0.04183,2.126,0.4056,0.103131163708087,52.684
"972",7,11,"Tri","PlantNW-SoilW-FungW","NW","W","W",0.04096,2.301,0.4149,0.0987225837551217,26.117
